22940 09:44:24 WARN  Runner started: DatFilesLoaderAsyncRunner
64496 09:44:24 INFO  HttpModule is being initialized
64496 09:44:31 INFO  Creating Default RH
64496 09:44:31 INFO  Sitecore started
64496 09:44:32 INFO  Cache created: 'DeviceItemsCache' (max size: 20MB, running total: 20MB)
64496 09:44:32 INFO  Cache created: 'master[data]' (max size: 80MB, running total: 100MB)
64496 09:44:32 INFO  Cache created: 'master[items]' (max size: 200MB, running total: 300MB)
64496 09:44:32 INFO  Cache created: 'master[paths]' (max size: 2MB, running total: 302MB)
64496 09:44:32 INFO  Cache created: 'master[standardValues]' (max size: 15MB, running total: 317MB)
64496 09:44:32 INFO  Cache created: 'master[languageFallbackObsolete]' (max size: 5MB, running total: 322MB)
64496 09:44:32 INFO  Cache created: 'master[languageFallback]' (max size: 5MB, running total: 327MB)
64496 09:44:32 INFO  Cache created: 'master[isLanguageFallbackValid]' (max size: 5MB, running total: 332MB)
64496 09:44:32 INFO  Cache created: 'master[isLanguageFallbackValidObsolete]' (max size: 1MB, running total: 333MB)
64496 09:44:32 INFO  Cache created: 'master[itempaths]' (max size: 20MB, running total: 353MB)
64496 09:44:32 INFO  Cache created: 'master[blobIDs]' (max size: 5MB, running total: 358MB)
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated item definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new item definitions count = 2341.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated shared definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new shared definitions count = 2341.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated language definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new language definitions count = 2341.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, updated item definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, new item definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, updated shared definitions count = 0.
64496 09:44:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, new shared definitions count = 0.
