50244 16:09:29 WARN  Runner started: DatFilesLoaderAsyncRunner
42848 16:09:29 INFO  HttpModule is being initialized
42848 16:09:31 INFO  Creating Default RH
42848 16:09:32 INFO  Sitecore started
42848 16:09:32 INFO  Cache created: 'DeviceItemsCache' (max size: 20MB, running total: 20MB)
42848 16:09:32 INFO  Cache created: 'master[data]' (max size: 80MB, running total: 100MB)
42848 16:09:32 INFO  Cache created: 'master[items]' (max size: 200MB, running total: 300MB)
42848 16:09:32 INFO  Cache created: 'master[paths]' (max size: 2MB, running total: 302MB)
42848 16:09:32 INFO  Cache created: 'master[standardValues]' (max size: 15MB, running total: 317MB)
42848 16:09:32 INFO  Cache created: 'master[languageFallbackObsolete]' (max size: 5MB, running total: 322MB)
42848 16:09:32 INFO  Cache created: 'master[languageFallback]' (max size: 5MB, running total: 327MB)
42848 16:09:32 INFO  Cache created: 'master[isLanguageFallbackValid]' (max size: 5MB, running total: 332MB)
42848 16:09:32 INFO  Cache created: 'master[isLanguageFallbackValidObsolete]' (max size: 1MB, running total: 333MB)
42848 16:09:32 INFO  Cache created: 'master[itempaths]' (max size: 20MB, running total: 353MB)
42848 16:09:32 INFO  Cache created: 'master[blobIDs]' (max size: 5MB, running total: 358MB)
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new item definitions count = 2341.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new shared definitions count = 2341.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, updated language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\APP_DATA\ITEMS\MASTER\ITEMS.MASTER.DAT, new language definitions count = 2341.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, updated language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DA-DK.DAT, new language definitions count = 50.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, new item definitions count = 57.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, new shared definitions count = 57.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, updated language definitions count = 50.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DAT, new language definitions count = 7.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, updated language definitions count = 50.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.DE-DE.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, updated language definitions count = 50.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.JA-JP.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, updated language definitions count = 50.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.JSS.ZH-CN.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, new item definitions count = 723.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, new shared definitions count = 532.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, updated language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SPE.DAT, new language definitions count = 723.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, updated language definitions count = 42.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DA-DK.DAT, new language definitions count = 4833.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, updated item definitions count = 44.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, new item definitions count = 8006.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, updated shared definitions count = 41.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, new shared definitions count = 6788.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, updated language definitions count = 4782.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DAT, new language definitions count = 3226.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, updated language definitions count = 4875.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.DE-DE.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, updated language definitions count = 4875.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.JA-JP.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, new item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, new shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, updated language definitions count = 4875.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.SXA.ZH-CN.DAT, new language definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.XE.DAT, updated item definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.XE.DAT, new item definitions count = 1.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.XE.DAT, updated shared definitions count = 0.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.XE.DAT, new shared definitions count = 1.
42848 16:09:32 INFO  Resource merger: file C:\INETPUB\WWWROOT\SITECORE MODULES\ITEMS\MASTER\ITEMS.MASTER.XE.DAT, updated language definitions count = 0.
